timestamp,open,high,low,close,symbol
2018-05-04,0.5,1.5,0.5,0.8899,
2018-05-05,0.8898,0.935,0.888,0.9028,
2018-05-06,0.9028,0.918,0.83774,0.86483,
2018-05-07,0.86482,0.86886,0.8,0.8249,
2018-05-08,0.8249,0.84802,0.792,0.80667,
2018-05-09,0.80667,0.81894,0.7569,0.79481,
2018-05-10,0.79481,0.80572,0.74085,0.74558,
2018-05-11,0.7492,0.75602,0.64758,0.6761,
2018-05-12,0.67376,0.71,0.62519,0.68522,
2018-05-13,0.68192,0.7501,0.66456,0.72999,
2018-05-14,0.72999,0.7499,0.68585,0.72694,
2018-05-15,0.72695,0.74892,0.6801,0.689,
2018-05-16,0.689,0.712,0.65756,0.70585,
2018-05-17,0.70942,0.712,0.6482,0.65849,
2018-05-18,0.65849,0.68255,0.646,0.67766,
2018-05-19,0.67698,0.69139,0.6611,0.67339,
2018-05-20,0.67483,0.70659,0.668,0.6994,
2018-05-21,0.6994,0.705,0.66666,0.67612,
2018-05-22,0.67612,0.67817,0.635,0.63782,
2018-05-23,0.63782,0.64488,0.5731,0.59198,
2018-05-24,0.59053,0.64,0.57617,0.62814,
2018-05-25,0.62966,0.63391,0.59336,0.60459,
2018-05-26,0.60596,0.62618,0.59771,0.60852,
2018-05-27,0.60907,0.648,0.59705,0.60416,
2018-05-28,0.60417,0.6091,0.5434,0.54689,
2018-05-29,0.54689,0.60921,0.54303,0.59998,
2018-05-30,0.5997,0.626,0.58101,0.60149,
2018-05-31,0.60051,0.62255,0.58829,0.6114,
2018-06-01,0.6114,0.62428,0.6024,0.62151,
2018-06-02,0.62236,0.65204,0.61513,0.64269,
2018-06-03,0.64285,0.69101,0.63862,0.6901,
2018-06-04,0.6901,0.707,0.6351,0.65507,
2018-06-05,0.65508,0.686,0.6328,0.67464,
2018-06-06,0.67507,0.6833,0.653,0.6741,
2018-06-07,0.6738,0.69,0.67089,0.67756,
2018-06-08,0.6777,0.68,0.65832,0.6721,
2018-06-09,0.67211,0.68,0.65514,0.6574,
2018-06-10,0.65687,0.6585,0.55,0.58201,
2018-06-11,0.58202,0.6,0.56,0.59989,
2018-06-12,0.59901,0.5991,0.5415,0.5556,
2018-06-13,0.5556,0.56124,0.50401,0.52862,
2018-06-14,0.52863,0.569,0.51934,0.55769,
2018-06-15,0.55765,0.55927,0.52447,0.53258,
2018-06-16,0.53224,0.5385,0.51733,0.53275,
2018-06-17,0.53232,0.5437,0.51999,0.52617,
2018-06-18,0.52669,0.5535,0.50818,0.5387,
2018-06-19,0.53835,0.56185,0.5207,0.54834,
2018-06-20,0.54833,0.55188,0.52065,0.53916,
2018-06-21,0.53919,0.549,0.52899,0.53457,
2018-06-22,0.5342,0.53506,0.46859,0.48216,
2018-06-23,0.48287,0.49909,0.47333,0.49005,
2018-06-24,0.48963,0.51,0.43724,0.47331,
2018-06-25,0.47418,0.4992,0.47123,0.48125,
2018-06-26,0.48125,0.48241,0.4511,0.453,
2018-06-27,0.45218,0.47518,0.44787,0.4701,
2018-06-28,0.47042,0.47396,0.442,0.44575,
2018-06-29,0.4463,0.46124,0.42393,0.45321,
2018-06-30,0.45346,0.48318,0.45312,0.46796,
2018-07-01,0.46797,0.46989,0.45007,0.46222,
2018-07-02,0.46222,0.4954,0.452,0.4899,
2018-07-03,0.48913,0.52,0.47801,0.4844,
2018-07-04,0.48469,0.508,0.47941,0.49097,
2018-07-05,0.49155,0.50295,0.46887,0.4769,
2018-07-06,0.47772,0.48156,0.45747,0.47698,
2018-07-07,0.47644,0.488,0.46381,0.48494,
2018-07-08,0.4852,0.48798,0.4751,0.47915,
2018-07-09,0.47872,0.48201,0.47015,0.473,
2018-07-10,0.4728,0.47338,0.43866,0.44337,
2018-07-11,0.44247,0.45134,0.43957,0.44872,
2018-07-12,0.449,0.44932,0.4236,0.43675,
2018-07-13,0.43706,0.44509,0.43001,0.43754,
2018-07-14,0.43761,0.4443,0.431,0.43864,
2018-07-15,0.43864,0.45004,0.43509,0.44681,
2018-07-16,0.44695,0.4858,0.4435,0.48173,
2018-07-17,0.48173,0.52019,0.4665,0.50728,
2018-07-18,0.50651,0.52525,0.4752,0.48868,
2018-07-19,0.48869,0.495,0.47125,0.47687,
