timestamp,open,high,low,close,volume,symbol
2018-05-11,99.99600000,99.99800000,4.00100000,4.18500000,5114.73100000,REPBNB
2018-05-12,4.18500000,4.34900000,3.41500000,3.88900000,2260.21900000,REPBNB
2018-05-13,3.89500000,4.12900000,3.70000000,3.90500000,816.37400000,REPBNB
2018-05-14,3.90700000,4.66600000,3.86300000,4.14700000,911.39400000,REPBNB
2018-05-15,4.14100000,5.11000000,4.14100000,4.26800000,1723.27300000,REPBNB
2018-05-16,4.20700000,4.21800000,0.13100000,4.07100000,2316.10200000,REPBNB
2018-05-17,4.04200000,5.30400000,3.92100000,4.52800000,2848.14500000,REPBNB
2018-05-18,4.52800000,4.70000000,3.20800000,3.64100000,1983.65300000,REPBNB
2018-05-19,3.63500000,3.85400000,3.40700000,3.73900000,419.80800000,REPBNB
2018-05-20,3.68500000,3.96800000,3.68500000,3.80100000,344.92700000,REPBNB
2018-05-21,3.81600000,3.81700000,3.45900000,3.49500000,213.51900000,REPBNB
2018-05-22,3.47400000,3.63100000,3.23400000,3.26800000,250.89500000,REPBNB
2018-05-23,3.26800000,3.44800000,3.10000000,3.37000000,382.28600000,REPBNB
2018-05-24,3.35100000,3.35100000,3.12000000,3.19600000,143.63200000,REPBNB
2018-05-25,3.22300000,3.22300000,3.00000000,3.06300000,382.66000000,REPBNB
2018-05-26,3.06500000,3.10100000,3.00700000,3.03700000,60.84400000,REPBNB
2018-05-27,3.05400000,3.10000000,3.01000000,3.03500000,62.13700000,REPBNB
2018-05-28,3.06100000,3.08900000,2.78200000,2.79900000,261.81200000,REPBNB
2018-05-29,2.79800000,3.07900000,2.75200000,2.97700000,3082.44000000,REPBNB
2018-05-30,3.01300000,3.51600000,2.86100000,2.87900000,1644.44800000,REPBNB
2018-05-31,2.89400000,2.90100000,2.65600000,2.69100000,252.46900000,REPBNB
2018-06-01,2.73900000,2.80600000,2.63000000,2.77500000,619.79700000,REPBNB
2018-06-02,2.78900000,2.85600000,2.68000000,2.77800000,549.29900000,REPBNB
2018-06-03,2.76300000,2.84200000,2.71000000,2.74900000,778.78300000,REPBNB
2018-06-04,2.77700000,2.80800000,2.61600000,2.64300000,234.28600000,REPBNB
2018-06-05,2.63800000,2.65000000,2.43200000,2.46600000,162.09100000,REPBNB
2018-06-06,2.42900000,2.57500000,2.16000000,2.20800000,403.97600000,REPBNB
2018-06-07,2.20800000,2.44000000,2.20200000,2.41900000,479.37000000,REPBNB
2018-06-08,2.42400000,2.43300000,2.03400000,2.33400000,521.47100000,REPBNB
2018-06-09,2.34900000,2.40000000,2.29700000,2.33700000,94.22600000,REPBNB
2018-06-10,2.31900000,2.44000000,2.31500000,2.32100000,225.83300000,REPBNB
2018-06-11,2.34000000,2.34000000,2.16500000,2.16500000,100.25700000,REPBNB
2018-06-12,2.18200000,2.23500000,2.00200000,2.04800000,100.09500000,REPBNB
2018-06-13,2.04800000,2.12800000,1.94100000,2.07800000,370.80700000,REPBNB
2018-06-14,2.07800000,2.37500000,2.02200000,2.29200000,1053.71400000,REPBNB
2018-06-15,2.31300000,2.33100000,2.13300000,2.14200000,457.68100000,REPBNB
2018-06-16,2.19000000,2.40000000,2.06300000,2.09100000,849.70800000,REPBNB
2018-06-17,2.09600000,2.17000000,1.95700000,2.01400000,88.36900000,REPBNB
2018-06-18,2.05500000,2.05600000,1.92900000,2.03500000,346.30300000,REPBNB
2018-06-19,2.05900000,2.26200000,2.03900000,2.20000000,2167.74900000,REPBNB
2018-06-20,2.17700000,2.30600000,2.13800000,2.24400000,409.61700000,REPBNB
2018-06-21,2.22600000,2.27200000,2.05100000,2.05100000,127.60300000,REPBNB
2018-06-22,2.05500000,2.10200000,1.90200000,2.00100000,518.41700000,REPBNB
2018-06-23,1.94300000,1.98900000,1.92800000,1.95500000,141.76500000,REPBNB
2018-06-24,1.97600000,2.13300000,1.97600000,2.11900000,243.76000000,REPBNB
2018-06-25,2.14400000,2.22800000,2.05000000,2.16000000,133.25600000,REPBNB
2018-06-26,2.12700000,2.19400000,2.10100000,2.13100000,158.47200000,REPBNB
2018-06-27,2.12400000,2.16500000,2.07500000,2.12700000,53.30600000,REPBNB
2018-06-28,2.15200000,2.49500000,2.11700000,2.14300000,922.82100000,REPBNB
2018-06-29,2.16000000,2.40900000,2.11800000,2.24800000,1250.35300000,REPBNB
2018-06-30,2.27700000,2.51900000,2.24800000,2.41500000,744.22200000,REPBNB
2018-07-01,2.41200000,2.51400000,2.37300000,2.43400000,199.31700000,REPBNB
2018-07-02,2.41000000,4.45000000,2.37200000,2.53500000,2491.52700000,REPBNB
2018-07-03,2.52100000,2.60800000,2.49900000,2.51200000,580.52100000,REPBNB
2018-07-04,2.50700000,2.65000000,2.47500000,2.52800000,5478.97700000,REPBNB
2018-07-05,2.56900000,2.68500000,2.53400000,2.65100000,26023.17400000,REPBNB
2018-07-06,2.62800000,2.88000000,2.62800000,2.70000000,11689.67200000,REPBNB
2018-07-07,2.70000000,2.72200000,2.29400000,2.53100000,16150.51100000,REPBNB
2018-07-08,2.51500000,2.65600000,2.37600000,2.43900000,7110.52200000,REPBNB
2018-07-09,2.45100000,2.58600000,2.41400000,2.51000000,997.61800000,REPBNB
2018-07-10,2.55100000,2.58500000,2.39500000,2.43700000,1055.21800000,REPBNB
2018-07-11,2.43700000,2.58000000,2.41600000,2.50000000,510.21100000,REPBNB
2018-07-12,2.51300000,2.57000000,2.42800000,2.49500000,331.04500000,REPBNB
2018-07-13,2.50000000,2.50700000,2.21300000,2.30400000,1463.00400000,REPBNB
2018-07-14,2.32100000,2.34800000,2.27700000,2.33200000,235.71200000,REPBNB
2018-07-15,2.32300000,2.35400000,2.21800000,2.31600000,1166.55300000,REPBNB
2018-07-16,2.35400000,2.39900000,2.23300000,2.24700000,116.44500000,REPBNB
2018-07-17,2.23900000,2.36600000,2.22200000,2.31100000,515.59300000,REPBNB
2018-07-18,2.31600000,2.43400000,2.10800000,2.42600000,1489.66400000,REPBNB
2018-07-19,2.42600000,2.64000000,2.27100000,2.38300000,1040.18700000,REPBNB
